Name,JoinName
14A (END BECANCOUR DOCK) Q25,14A (END BECANCOUR DOCK)
14B (MID BECANCOUR DOCK) Q26,14B (MID BECANCOUR DOCK)
A1,A1
A10,A10
A2,A2
A3,A3
A7,A7
A8,A8
A9,A9
ABOVE GUARD GATE SN1,ABOVE GUARD GATE
ALERT LT1,ALERT LT1
Alert LT1,ALERT LT1
ALERT YLT,ALERT YLT
Alert YLT,ALERT YLT
ANSTRUTHER LAKE T17,ANSTRUTHER LAKE
ARCTIC BAY YAB,ARCTIC BAY
ATHERLEY T24,ATHERLEY
B1,B1
B2,B2
B4,B4
B5,B5
B8,B8
BAGOTVILLE YBG,BAGOTVILLE
Baker Lake,BAKER LAKE
BAKER LAKE YBK,BAKER LAKE
BALSAM LAKE T07,BALSAM LAKE
BIG TROUT LAKE WTL,BIG TROUT LAKE
BLANC-SABLON YBX,BLANC-SABLON
BOTWOOD YQX,BOTWOOD
BRIDGE 19 SN2,BRIDGE 19 SN2
BROCHET YBT,BROCHET
BUCKHORN LAKE T11,BUCKHORN LAKE
C1,C1
Cambridge Bay,CAMBRIDGE BAY
CAMBRIDGE BAY YCB,CAMBRIDGE BAY
CANAL LAKE T22,CANAL LAKE
CAPE DORSET YTE,CAPE DORSET
CAPE PARRY ZUE,CAPE PARRY
CARAQUET YMI,CARAQUET
CARTWRIGHT WCA,CARTWRIGHT
CHEMUNG LAKE T12,CHEMUNG LAKE
CHESTERFIELD INLET YCS,CHESTERFIELD INLET
CHURCHILL YYQ,CHURCHILL
CLYDE YCY,CLYDE
CONWAY NARROWS YG3,CONWAY NARROWS
COPPERMINE YCO,COPPERMINE
Coral Harbour,CORAL HARBOUR
CORAL HARBOUR YZS,CORAL HARBOUR
CORNER BROOK YJT,CORNER BROOK
CREE LAKE WFN,CREE LAKE
CRYSTAL LAKE T06,CRYSTAL LAKE
D1,D1
D2,D2
D3,D3
D4,D4
D5,D5
D6,D6
D7,D7
D8,D8
DEER BAY T13,DEER BAY
E1,E1
E2,E2
EAST CENTER PIER SM1,EAST CENTER PIER
EELS LAKE T15,EELS LAKE
EGMONT BAY YG2,EGMONT BAY
ENNADAI LAKE YEI,ENNADAI LAKE
Eureka,EUREKA
EUREKA WEU,EUREKA WEU
F1,F1
F2,F2
FORT CHIPEWYAN YPY,FORT CHIPEWYAN
FORT RELIANCE YFL,FORT RELIANCE
FRECHETTE POINT SM4,FRECHETTE POINT
G1,G1
G2,G2
GIMLI YGM,GIMLI
GLADMAN POINT YUR,GLADMAN POINT
GLOUCESTER POOL T28,GLOUCESTER POOL
GOODERHAM LAKE T05,GOODERHAM LAKE
GOOSE BAY YYR,GOOSE BAY
GULL LAKE T03,GULL LAKE
H1,H1
H2,H2
H3,H3
H4,H4
H5,H5
H7,H7
H8,H8
Hall Beach,HALL BEACH
HALL BEACH YUX,HALL BEACH
HALLS LAKE T02,HALLS LAKE
HARRINGTON HARBOUR YHR,HARRINGTON HARBOUR
HAVRE-SAINT-PIERRE YGV,HAVRE-SAINT-PIERRE
HEAD OF LITTLE RAPIDS SM3,HEAD OF LITTLE RAPIDS
HOLMAN ISLAND YHI,HOLMAN ISLAND
HOPEDALE YHO,HOPEDALE
INUKJUAK PH1,INUKJUAK
INUKJUAK WPH,INUKJUAK
Inuvik,INUVIK
INUVIK YEV,INUVIK
Iqaluit,IQALUIT
IQALUIT YFB,IQALUIT
ISACHSEN (OLD ICE) IC1,ISACHSEN (OLD ICE
ISACHSEN YIC,ISACHSEN
ISLAND LAKE YIV,ISLAND LAKE
JACK LAKE T16,JACK LAKE
JACKSON POINT T23,JACKSON POINT
KASHAGAWIGAMOG LAKE T04,KASHAGAWIGAMOG LAKE
KENNISIS LAKE T01,KENNISIS LAKE
KINGSTON YGK,KINGSTON
KUUJJUAQ YVP,KUUJJUAQ
KUUJJUARAPIK YGW,KUUJJUARAPIK
LA GRANDE IV YAH,LA GRANDE IV
LADY FRANKLIN POINT YUJ,LADY FRANKLIN POINT
LAKE COUCHICHING T25,LAKE COUCHICHING
LAKE SCUGUG T08,LAKE SCUGOG
LANSDOWNS HOUSE WLH,LANSDOWNS HOUSE
MATAGAMI YMT,MATAGAMI
MIDLAND YQA,MIDLAND
MOOSONEE WZC,MOOSONEE
MOULD BAY YMD,MOULD BAY
NATASHQUAN YNA,NATASHQUAN
NICOLET (SITE A) RQA,NICOLET (SITE A)
NICOLET (SITE B) RQB,NICOLET (SITE B)
NICOLET (SITE C) RQC,NICOLET (SITE C)
NITCHEQUON YNI,NITCHEQUON
NORMAN WELLS YVQ,NORMAN WELLS
NORWAY HOUSE YNE,NORWAY HOUSE
OTONABEE RIVER T19,OTONABEE RIVER
P1 (MONTREAL) Q01,P1 (MONTREAL)
P10 (YAMACHICHE BEND) Q10,P10 (YAMACHICHE BEND)
P11 (LAC ST. PIERRE) Q11,P11 (LAC ST. PIERRE)
P12 (LAC ST. PIERRE) Q12,P12 (LAC ST. PIERRE)
P13 (LAC ST. PIERRE) Q13,P13 (LAC ST. PIERRE)
P14 (GENTILLY) Q14,P14 (GENTILLY)
P15 (BUOY D77) Q15,P15 (BUOY D77)
P16 (GRONDINES) Q16,P16 (GRONDINES)
P17 (BUOY D9) Q17,P17 (BUOY D9)
P18 (PORTNEUF) Q18,P18 (PORTNEUF)
P19 (BUOY Q51) Q19,P19 (BUOY Q51)
P2 (BELOW BUOY M175) Q02,P2 (BELOW BUOY M175)
P20 (DONNACONA) Q20,P20 (DONNACONA)
P21 (CAP ROUGE) Q21,P21 (CAP ROUGE)
P22 (BEAUPORT) Q22,P22 (BEAUPORT)
P23 (BAIE DES HA! HA!) S06,P23 (BAIE DES HA! HA!)
P23 (NORTHWEST SECTION) Q23,P23 (NORTHWEST SECTION)
P24 (OFF CAP OUEST) S05,P24 (OFF CAP OUEST)
P24 (OFF PUBLIC DOCK) Q24,P24 (OFF PUBLIC DOCK)
P25 (OFF CAP ROUGE) S04,P25 (OFF CAP ROUGE)
P26 (OFF CAP TRINITE) S03,P26 (OFF CAP TRINITE)
P27 (OFF POINT AU BOEUF) S02,P27 (OFF POINT AU BOEUF)
P28 (ANSE A PELLETIER) S07,P28 (ANSE A PELLETIER)
P29 (LA GRANDE ANSE NW) S08,P29 (LA GRANDE ANSE NW)
P3 (N OF BUOY M107) Q03,P3 (N OF BUOY M107)
P30 (LA GRANDE ANSE N) S09,P30 (LA GRANDE ANSE N)
